softwareName,version,releaseDate,eolDate
LightCyber Magna Master Virtual Appliance (M-100V),-,2017-12-31,2020-12-31
Evident.io™,-,-,-
Evident.io,-,2018-03-26,2020-07-31
Prisma SD-WAN,-,-,-
6.5,-,2025-02-15,2028-02-15
6.4,-,2024-08-09,2026-08-31
6.3,-,2024-02-22,2027-02-28
6.2,-,2023-05-04,2025-05-04
6.1,-,2022-12-23,2026-06-30
6.0,-,2022-11-05,2023-09-01
5.6,-,2021-10-05,2026-06-30
5.5,-,2021-04-11,2023-08-30
5.4,-,2020-08-10,2023-03-31
5.2,-,2020-02-05,2022-01-31
5.1,-,2019-01-31,2022-01-31
5.0,-,2018-08-03,2022-01-31
4.7,-,2018-05-23,2020-03-15
4.6,-,2018-04-04,2020-02-15
4.5,-,2017-09-15,2020-02-15
4.4,-,2017-04-28,2020-02-15
BRIGHTCLOUD Subscription,-,-,-
BrightCloud,-,2009-01-05,2021-07-31
VM-Series Models,-,-,-
"VM-Series Models
(VM-50, VM-100, VM-200, VM-300, VM-500, VM-700, VM-1000-HV)",-,2021-07-31,2024-07-31
